LANDUSE_TYPE,USER,PIPE DIAM,VENDOR,JAN16,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,333,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,12,10,11,11,21,34,20,11,13,9,16,8,10,12,11,14,14,18,13,14,13,6,3,5
H3,DOMESTICO MEDIO,0.5,,,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,16,12,9,12,10,14,10,11,6,8,11,8,12,6,8,13,9,8,7,10,11,14,10,9,11,13,12,15,12,15,15,13,11,12,12,8,11,8,6,6,2,5,9,9,8,8,8,7,7,24
H3,DOMESTICO RESIDENCIAL,0.5,Cicasa NG 1/2,849,20,20,20,6,14,10,14,7,12,8,8,9,12,10,8,11,10,12,10,10,12,10,12,12,11,12,11,12,13,11,16,11,14,13,16,14,15,18,14,15,15,16,15,14,19,13,21,11,15,16,14,11,16,19,15,16,15,12,12,13,15,18,11,15,13,15,18,9,2,1,0,0,0,0,7,7,6,0,0,1,2,2,2,2
H3,DOMESTICO MEDIO,0.5,,,14,14,14,14,14,14,40,88,16,30,34,35,0,13,14,21,14,22,14,42,22,16,24,21,31,44,26,0,25,25,27,23,18,17,18,15,22,19,16,13,14,17,18,3,5,3,22,8,8,3,4,3,4,6,4,9,6,25,14,4,10,11,11,12,0,11,9,10,7,5,15,9,9,8,9,9,8,9,9,9,9,9,9,24
H3,DOMESTICO MEDIO,0.5,,,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,24,24,24,24,8,6,8,7,9,5,6,1,0,0,0,1,1,0,0,3,2,2,1,1,1,1,1,1,24
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,84,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,16,15,16,15,13,20,11,8,9,11,6,1,1,66,11,11,16,14,20,22,15,13,14,16,16,0,3,2,5,6,6,10,12,8,2,2,1,2,1,1,1,1,2,5,1,5,4,3,0
H3,DOMESTICO MEDIO,0.5,,,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,24,0,20,19,18,17,16,14,16,16,15,15,14,14,14,14,14,14,13,13,13,12,13,12,12,12,12,12,11,23,23,23,23,22,22,22,21,21,21,21,20,20,20,19,20,19,19,18,20,20,20,20,20,20,20,20,20,24
H3,SOCIAL,0.5,,,20,20,20,20,20,20,20,20,20,20,20,9,7,15,0,8,9,12,8,10,8,9,8,6,7,9,7,9,8,8,7,9,10,10,9,10,9,11,9,9,9,16,16,11,11,11,12,12,12,11,11,11,11,11,20,20,14,14,14,15,16,15,14,14,14,14,14,14,14,13,13,13,13,12,14,14,14,14,14,14,14,14,14,24
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,685,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,9,11,13,15,16,2,11,0,13,14,14,16,21,15,11,13,16,13,18,16,24,20,25,21,7,10,11,14,17,13,12,11,19,7,10,10,9,8,9,11,14,16,12,6,6,8,10,7,8,8,9,10,11,14,13,10,1,9
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,766,10,10,10,10,10,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,2,11,15,18,10,13,15,9,11,17,8,6,10,7,14,11,9,14,11,18,11,14,17,22,10,13,17,16,13,24,15,16,15,8,14,11,14,10,16,17,14,15,9,14,8,7,11,11,16,12,15,19,16,13,16,17,12
